_step,_runtime,General/env_index,global_step,_timestamp,Scaled_returns/evaluation_4__easy_layout_scaled,reward,Scaled_returns/evaluation_1__square_arena_scaled,General/explore,General/learning_rate,Losses/entropy,Losses/actor_loss,returned_episode_returns,General/env_step,Scaled_returns/evaluation_5__cramped_room_scaled,returned_episode,General/shaped_reward_annealed_agent0,Losses/value_loss,General/shaped_reward_agent1,Evaluation/0__smallest_kitchen,Evaluation/5__cramped_room,Advantage_Targets/targets,General/shaped_reward_agent0,Scaled_returns/returned_episode_returns_scaled,Losses/total_loss,Scaled_returns/evaluation_2__asymm_advantages_scaled,Evaluation/1__square_arena,Evaluation/3__no_cooperation,Losses/reg_loss,Evaluation/2__asymm_advantages,Scaled_returns/evaluation_0__smallest_kitchen_scaled,General/steps_for_env,Evaluation/4__easy_layout,General/update_step,explore,Scaled_returns/evaluation_3__no_cooperation_scaled,General/shaped_reward_annealed_agent1,returned_episode_lengths,Advantage_Targets/advantages
8,120.71980486,0.0,75,1746880401.1756997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,120.918047191,,75,1746880401.1781814,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,120.918125168,,75,1746880401.178706,,0.390625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,120.918453899,,150,1746880405.6480894,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,120.919122572,,300,1746880414.5869138,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,120.919133419,,300,1746880414.5876043,,,,,0.0003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,120.919236842,,300,1746880414.5878327,,,,,,0.76999986,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,120.919518349,0.0,375,1746880419.056135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,120.9196315,,375,1746880419.0571933,,,,,,,-0.00797578,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,120.919790429,,375,1746880419.058618,,,,,,,,218.7207,,,,,,,,,,,,,,,,,,,,,,,,,,
184,120.919927991,,450,1746880423.5260425,,,,,,,,,921600.0,,,,,,,,,,,,,,,,,,,,,,,,,
220,120.920342718,,525,1746880427.9949777,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
269,120.920899682,,600,1746880432.4668193,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
273,120.920943812,,600,1746880432.4675713,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
275,120.920966497,,600,1746880432.4676323,,,,,,,,,,,0.0078125,,,,,,,,,,,,,,,,,,,,,,,
289,120.921753023,,675,1746880436.934783,,,,,,,,,1382400.0,,,,,,,,,,,,,,,,,,,,,,,,,
294,120.921878811,,675,1746880436.9356947,,,,,,,,,,,,0.15393591,,,,,,,,,,,,,,,,,,,,,,
302,120.922445072,,675,1746880436.9362535,,,,,,,,,,,,,236.57123,,,,,,,,,,,,,,,,,,,,,
326,120.922745584,,750,1746880441.4056983,,,,,0.0003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
337,120.922872869,,750,1746880441.406652,,,,,,,,,,,,,153.22443,,,,,,,,,,,,,,,,,,,,,
363,240.938861276,,825,1746880445.8744335,,,,,,,,,,,,,,0.20214844,,,,,,,,,,,,,,,,,,,,
387,240.939503536,,900,1746880450.3417594,,,,,,,,,,,,,,,224.0,,,,,,,,,,,,,,,,,,,
392,240.939874465,,900,1746880450.341914,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
403,240.940015757,,900,1746880450.342904,,,,,,,-0.017197236,,,,,,,,,,,,,,,,,,,,,,,,,,,
421,240.940247285,,975,1746880454.8101685,,,,,,,,,,,,,,,,,49.183525,,,,,,,,,,,,,,,,,
448,240.940577711,,975,1746880454.812326,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
465,240.940773259,,1050,1746880459.2788033,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
467,240.940795969,,1050,1746880459.279415,,,,,,,,,,,,,,,,,,0.19189453,,,,,,,,,,,,,,,,
499,240.941167516,,1125,1746880463.747789,,,,,,,,,2304000.0,,,,,,,,,,,,,,,,,,,,,,,,,
500,240.941178894,,1125,1746880463.7478192,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
509,240.941286795,,1125,1746880463.748739,,,,,,0.7572813,,,,,,,,,,,,,,,,,,,,,,,,,,,,
559,240.941861044,,1200,1746880468.2200475,,,,,,,,,,,,,,,,,,,0.94480497,,,,,,,,,,,,,,,
