Losses/actor_loss,task_1_1__no_cooperation,General/shaped_reward_annealed_agent1,General/shaped_reward_agent0,Losses/reg_loss,_timestamp,returned_episode,Losses/total_loss,returned_episode_returns,returned_episode_lengths,_runtime,Advantage_Targets/targets,Advantage_Targets/advantages,task_0_0__asymm_advantages,Losses/entropy,Evaluation/4__easy_layout,Scaled_returns/evaluation_4__easy_layout_scaled,Scaled_returns/evaluation_3__smallest_kitchen_scaled,reward,General/update_step,Evaluation/0__asymm_advantages,global_step,Scaled_returns/returned_episode_returns_scaled,General/env_index,Scaled_returns/evaluation_2__square_arena_scaled,explore,General/learning_rate,General/explore,General/steps_for_env,task_2_2__square_arena,task_4_4__easy_layout,task_5_5__cramped_room,Evaluation/5__cramped_room,Scaled_returns/evaluation_0__asymm_advantages_scaled,Losses/value_loss,General/env_step,Scaled_returns/evaluation_5__cramped_room_scaled,_step,Evaluation/1__no_cooperation,Evaluation/2__square_arena,General/shaped_reward_agent1,General/shaped_reward_annealed_agent0,Scaled_returns/evaluation_1__no_cooperation_scaled,task_3_3__smallest_kitchen,Evaluation/3__smallest_kitchen
,,,,,1746880432.9708626,,,,,120.815143573,,,,,,,,,,176.0,75,,,,,,,,,,,,,,,,2,,,,,,,
,,,,,1746880437.6688526,,,,,120.94028777,,,,,,,,,,,150,,,,,,,,,,,,,56.21444,,,57,,,,,,,
,,,,,1746880442.3624265,,,,,120.940742627,,,,,0.0,,,,,,225,,,,,,,,,,,,,,,,76,,,,,,,
-0.006789721,,,,,1746880447.0605829,,,,,240.962806291,,,,,,,,,,,300,,,,,,,,,,,,,,,,123,,,,,,,
,,,,,1746880447.0613782,,,,,240.975733445,,,,,,,,,,,300,,,0.0,,,,,,,,,,,,,130,,,,,,,
,,,,,1746880451.7572684,,,,,240.976156806,,,,,,,,,375.0,,375,,,,,,,,,,,,,,,,157,,,,,,,
,,,,0.0,1746880456.454689,,,,,240.977438036,,,,,,,,,,,450,,,,,,,,,,,,,,,,195,,,,,,,
,,,,,1746880461.1521277,,,,,240.97839446,,,,,,,,,,,525,,,,,,,,,,,,,,,0.0,238,,,,,,,
,,0.3782667,,,1746880465.8485417,,,,,240.978690509,,,,,,,,,,,600,,,,,,,,,,,,,,,,260,,,,,,,
,,,,,1746880465.849965,,,,,240.978879445,,,,,,,,,,,600,,,,0.0,,,,,,,,,,,,274,,,,,,,
,,,,,1746880470.5471368,,,,,240.979488223,,,,,,,,,,,675,,,,,,,,,,,,,,,0.0,308,,,,,,,
,,,,,1746880475.2438753,,,,,240.979921996,,,,,,,,,,,750,,,,,,,,,,,,,,,,339,,,,,0.0,,
,,,,,1746880479.9374459,,,,,240.980192469,,,,,,,,,,,825,,0.0,,,,,,,,,,,,,,358,,,,,,,
,,0.32816616,,,1746880484.6359775,,,,,240.980769225,,,,,,,,,,,900,,,,,,,,,,,,,,,,400,,,,,,,
,,,,,1746880489.3316777,,,,,240.982028526,,,,,,,,,,,975,,,,,,,1996800.0,,,,,,,,,436,,,,,,,
,,,,,1746880489.33282,,,,,240.982600401,,,,,,,,,,,975,,,,0.0,,,,,,,,,,,,449,,,,,,,
,,,,,1746880508.120916,,,,,240.984387916,,,,,,,,,,,1275,,,,,,,,,,,,0.89867836,,,,583,,,,,,,
,,,,,1746880508.1209798,,,,,240.984410575,,,,,,,,,,,1275,,,0.0,,,,,,,,,,,,,585,,,,,,,
,,,,,1746880508.1213164,,,,,240.984444783,,,,,,,,,,,1275,,,,,,,,,,,,,,,0.0,588,,,,,,,
,,,0.22705078,,1746880512.8150845,,,,,240.984669824,,,,,,,,,,,1350,,,,,,,,,,,,,,,,607,,,,,,,
-0.014661536,,,,,1746880512.8159504,,,,,240.984738957,,,,,,,,,,,1350,,,,,,,,,,,,,,,,613,,,,,,,
,,,,,1746880517.5130024,,,,,240.985252984,,,,,,,0.0,,,,1425,,,,,,,,,,,,,,,,656,,,,,,,
,,,,,1746880517.5130708,,,,,240.985461998,,,,,,,,,,,1425,,,,,,,,,,,,,,,0.0,658,,,,,,,
,,,,,1746880517.5131364,0.0078125,,,,240.985505091,,,,,,,,,,,1425,,,,,,,,,,,,,,,,660,,,,,,,
,,,,,1746880522.2080657,,,,,240.986271694,,,,,,,0.0,,,,1500,,,,,,,,,,,,,,,,691,,,,,,,
,,,,,1746880531.6010687,,,,,240.987556536,,,,0.5700047,,,,,,,1650,,,,,,,,,,,,,,,,754,,,,,,,
,,,,,1746880531.6020443,,,,,240.987631089,,,,,,,,,,,1650,,,0.0,,,,,,,,,,,,,760,,,,,,,
,,,,,1746880536.2971826,,,,,240.988110032,,,,,,,,,,,1725,,,,,,,,,,,,,,,0.0,798,,,,,,,
