task_2_2__no_cooperation,General/shaped_reward_annealed_agent0,Advantage_Targets/targets,task_5_5__asymm_advantages,Scaled_returns/evaluation_5__asymm_advantages_scaled,Evaluation/0__smallest_kitchen,_timestamp,_runtime,General/shaped_reward_annealed_agent1,Evaluation/1__square_arena,Evaluation/4__cramped_room,Scaled_returns/evaluation_1__square_arena_scaled,General/learning_rate,Losses/total_loss,General/env_step,Evaluation/2__no_cooperation,explore,Evaluation/5__asymm_advantages,Scaled_returns/evaluation_4__cramped_room_scaled,Losses/actor_loss,returned_episode,Advantage_Targets/advantages,General/explore,General/shaped_reward_agent0,Losses/value_loss,Scaled_returns/evaluation_2__no_cooperation_scaled,Scaled_returns/evaluation_0__smallest_kitchen_scaled,Losses/reg_loss,returned_episode_returns,returned_episode_lengths,_step,Evaluation/3__easy_layout,Losses/entropy,General/env_index,General/update_step,General/steps_for_env,reward,global_step,task_1_1__square_arena,task_4_4__cramped_room,task_0_0__smallest_kitchen,Scaled_returns/returned_episode_returns_scaled,Scaled_returns/evaluation_3__easy_layout_scaled,General/shaped_reward_agent1,task_3_3__easy_layout
,,,,,,1746880409.5397618,120.914171117,,,,,,,,,,,,,,,,,,,,,,,34,,,,,,,75.0,,,,0.47732377,,,
,,31.275806,,,,1746880414.0487485,120.914197762,,,,,,,,,,,,,,,,,,,,,,,36,,,,,,,150.0,,,,,,,
,,,,,,1746880414.0489464,120.914274663,,,,,,,,,,0.0,,,,,,,,,,,,,42,,,,,,,150.0,,,,,,,
,,,,,,1746880414.0516167,120.914601552,,,,,,,,,,,,,,,,,,,,,,,68,,,,,,0.37109375,150.0,,,,,,,
,,,,,,1746880423.0779464,120.915316703,,,,,,,,,,,,,,,,,,,0.8503937,,,,128,,,,,,,300.0,,,,,,,
,,,,,,1746880423.078042,120.915351656,,,,,,,,,,,,,,,,,,,,,,,131,,,,,,,300.0,,,,,0.0,,
,,,,,,1746880432.1055717,120.916005341,,,,,,,,,,,,,,,,0.125,,,,,,,187,,,,,,,450.0,,,,,,,
,,,,,,1746880432.1061616,120.916031452,,,,,,,,,,,,,,,,,,,,,,,188,,,,,,,450.0,,,,,,0.1328125,
,,,,,,1746880436.6185737,120.916677836,,,0.0,,,,,,,,,,,,,,,,,,,,216,,,,,,,525.0,,,,,,,
,,,,,,1746880436.6187158,120.91676058,,,,,,,,,,,,,,,0.0,,,,,,,,220,,,,,,,525.0,,,,,,,
,,,,,,1746880441.13214,120.917514434,,,,,,,,,,,,,,-9.942091,,,,,,,,,245,,,,,,,600.0,,,,,,,
,,44.763298,,,,1746880441.1322033,120.917544773,,,,,,,,,,,,,,,,,,,,,,,246,,,,,,,600.0,,,,,,,
,,,,,,1746880450.1587615,120.918862886,,,,,,,,,,,,,,,,,,,,,,,334,,0.77636313,,,,,750.0,,,,,,,
,,,,,,1746880454.6696317,240.93648111,,,,,,,,,,,,,,,0.0,,,,,,,,360,,,,,,,825.0,,,,,,,
,,,,,,1746880454.6717482,240.936907824,,,,,,,,,,,,,0.0078125,,,,,,,,,,380,,,,,,,825.0,,,,,,,
,,,,,,1746880459.183453,240.937880176,,,,0.0,,,,,,,,,,,,,,,,,,,409,,,,,,,900.0,,,,,,,
,,,,,,1746880463.697722,240.938343721,,,,,,,,,,,,,,,,,,,,,,,446,,,,,,,975.0,,,,,0.0,,
,,48.872597,,,,1746880477.2355084,240.939286,,,,,,,,,,,,,,,,,,,,,,,526,,,,,,,1200.0,,,,,,,
,,,,,,1746880477.237848,240.939584872,,,,,,,,,,,0.0,,,,,,,,,,,,552,,,,,,,1200.0,,,,,,,
,,,,,,1746880486.2621603,240.940134269,,0.0,,,,,,,,,,,,,,,,,,,,,598,,,,,,,1350.0,,,,,,,
,,,,,,1746880486.2647882,240.940518761,,,,,,,,,,,,,,,,,,,,,,400.0,626,,,,,,,1350.0,,,,,,,
,,,,,,1746880486.2648177,240.940532944,,,,,,,,,,,,,,,,,,,,,238.74023,,627,,,,,,,1350.0,,,,,,,
,,,,,,1746880490.7757335,240.940667342,,,,,,,,,,0.0,,,,,,,,,,,,,637,,,,,,,1425.0,,,,,,,
,,,,,,1746880495.2894726,240.941798551,,,,,,,,,,,,,,,0.0,,,,,,,,675,,,,,,,1500.0,,,,,,,
,,,,,,1746880495.2911894,240.942259902,,,,0.0,,,,,,,,,,,,,,,,,,,689,,,,,,,1500.0,,,,,,,
,,,,,,1746880499.8024101,240.942549223,,,,,,,,,,,,,,,,,,,,,,,713,,,,,,,1575.0,,,,,,0.18896484,
,,,,,,1746880504.3148804,240.943011594,,,,,,,,,,,,-0.016484376,,,,,,,,,,,753,,,,,,,1650.0,,,,,,,
,,,,,,1746880504.3153172,240.943049548,,,,,,70.0936,,,,,,,,,,,,,,,,,756,,,,,,,1650.0,,,,,,,
