General/shaped_reward_annealed_agent0,General/shaped_reward_annealed_agent1,Scaled_returns/returned_episode_returns_scaled,Evaluation/0__smallest_kitchen,Losses/value_loss,_timestamp,task_1_1__cramped_room,Advantage_Targets/advantages,task_4_4__no_cooperation,General/env_index,General/steps_for_env,Evaluation/4__no_cooperation,global_step,Scaled_returns/evaluation_3__square_arena_scaled,returned_episode,Losses/actor_loss,General/learning_rate,Evaluation/1__cramped_room,task_5_5__easy_layout,reward,General/explore,Scaled_returns/evaluation_1__cramped_room_scaled,Scaled_returns/evaluation_0__smallest_kitchen_scaled,Losses/reg_loss,returned_episode_lengths,Losses/total_loss,General/shaped_reward_agent1,explore,Advantage_Targets/targets,Losses/entropy,_runtime,General/update_step,returned_episode_returns,Scaled_returns/evaluation_2__asymm_advantages_scaled,General/env_step,task_0_0__smallest_kitchen,task_2_2__asymm_advantages,task_3_3__square_arena,Scaled_returns/evaluation_5__easy_layout_scaled,Evaluation/5__easy_layout,Scaled_returns/evaluation_4__no_cooperation_scaled,Evaluation/2__asymm_advantages,_step,Evaluation/3__square_arena,General/shaped_reward_agent0
,,,,,1746880419.563576,,,,0.0,,,75,,,,,,,,,,,,,,,,,,120.717239443,,,,,,,,,,,,8,,
,,,,,1746880419.5660045,,,,,,,75,,,,,,,,,,,,,,,,,,120.906626098,,,,,,,,,,0.0,,27,,
,,,,43.594105,1746880424.0594678,,,,,,,150,,,,,,,,,,,,,,,,,,120.90727043,,,,,,,,,,,,57,,
,,,,,1746880428.5531316,,,,,,,225,0.0,,,,,,,,,,,,,,,,,120.908324879,,,,,,,,,,,,96,,
,,,,,1746880428.5531607,,,,,,,225,,,,,,,,,,,,,,,,,,120.908337951,,,,,,,,,,0.0,,97,,
,,,,,1746880433.0446,,,,,,,300,,,,,,,,,,,,,,,,,,120.90850917,,,,,,,,,,,,110,0.0,
,,,,,1746880433.045326,,,,,,,300,,,,,,,,,,,,,,0.15527344,,,,120.9086029,,,,,,,,,,,,118,,
,,,,,1746880433.0472326,,,,,,,300,,,,,,,,,,,,400.0,,,,,,120.908818868,,,,,,,,,,,,136,,
,,,,,1746880437.5378625,,,,,,,375,,,,,,,,,,,,,,,,,,120.908924959,,,,,,,,,,,,145,0.0,
,,,,,1746880437.538282,,,,,,,375,,,,0.0003,,,,,,,,,,,,,,120.908991661,,,,,,,,,,,,151,,
,,,,,1746880437.5401292,,,,,,,375,,0.0078125,,,,,,,,,,,,,,,,120.909224886,,,,,,,,,,,,170,,
,,,,,1746880446.5210457,,,,,,,525,,,,0.0003,,,,,,,,,,,,,,240.924667275,,,,,,,,,,,,221,,
,,,,,1746880446.5222776,,,,,,,525,0.0,,,,,,,,,,,,,,,,,240.924848925,,,,,,,,,,,,236,,
,,,,,1746880451.0141902,,,,,,,600,,,,,,,,,,,,,,0.15917969,,,,240.925109344,,,,,,,,,,,,258,,
,,,,,1746880455.5080373,,,,,,,675,,,,,,,,,0.0,,,,,,,,,240.925651125,,,,,,,,,,,,304,,
,,,,,1746880455.5084298,,,,,,,675,,,,,,,,,,,,,,,0.0,,,240.92570777,,,,,,,,,,,,309,,
,,,,,1746880459.998164,,,,,,,750,,,,,,,,,,0.8346457,,,,,,,,240.926034825,,,,,,,,,,,,338,,
,,,,,1746880464.4892478,,,,,,,825,,,,,,,,,,,,,,,,,,240.927101493,,,,,,,,0.0,,,,378,,
,,,,,1746880468.9784062,,,,,1843200.0,,900,,,,,,,,,,,,,,,,,,240.927597215,,,,,,,,,,,,401,,
,,,,,1746880468.978442,,,,,,,900,,,,,,,,,,,,,,,,,,240.9276086,900.0,,,,,,,,,,,402,,
,,,236.0,,1746880482.4514356,,,,,,,1125,,,,,,,,,,,,,,,,,,240.928666752,,,,,,,,,,,,492,,
,,,,,1746880482.4530988,,,,,,,1125,,,,,,,,,,,,,94.20962,,,,,240.928894572,,,,,,,,,,,,511,,
,,,,,1746880482.4535654,,,,,,,1125,,,,,,,,,,,,,,,,,,240.928961345,,,,,,,,,,0.0,,517,,
,0.119871095,,,,1746880495.9260585,,,,,,,1350,,,,,,,,,,,,,,,,,,240.930383811,,,,,,,,,,,,610,,
,,,,,1746880500.418818,,,,,,,1425,,,,,,,,,,,,,,,0.0,,,240.931495341,,,,,,,,,,,,659,,
,,,,,1746880504.9065716,,-9.488556,,,,,1500,,,,,,,,,,,,,,,,,,240.931567126,,,,,,,,,,,,665,,
,,,,,1746880504.906886,,,,,,,1500,,,,,,,,,,,,,,,,,,240.931669971,,,,3072000.0,,,,,,,,674,,
,,,,,1746880509.3967166,,,,,,,1575,,,,,,,,,,,,,,,,,,240.932031465,,,,,,,,,,,,705,0.0,
,,,,,1746880513.8882813,,,,,,,1650,,,,,,,,,,,,,,,,,,240.932506827,,,,,,,,,,,,747,,0.1899414
0.10975878,,,,,1746880513.8883495,,,,,,,1650,,,,,,,,,,,,,,,,,,240.932529726,,,,,,,,,,,,749,,
,,,,,1746880513.8892012,,,,,,,1650,,,,,,,,,,,,,,,,,,240.932657379,,,0.0,,,,,,,,,760,,
,,,,,1746880513.8897266,,,,,,,1650,,,,,,,,,,,,,,,0.0,,,240.932701806,,,,,,,,,,,,764,,
,,,,,1746880518.3779354,,,,,,,1725,,,,,,,,,,,,,,,,,,240.932865991,,,,3532800.0,,,,,,,,779,,
,,,,,1746880522.869185,,,,,,,1800,,0.0078125,,,,,,,,,,,,,,,,240.933490788,,,,,,,,,,,,835,,
,,,,,1746880527.3608348,,,,,,,1875,0.0,,,,,,,,,,,,,,,,,240.93415909,,,,,,,,,,,,866,,
,,,,,1746880527.3616054,,,,,,,1875,,,,,,,,,,,,,,,,,,240.934293792,,256.1914,,,,,,,,,,872,,
,,,,,1746880536.3427649,,,,,,,2025,,,,,,,,,,,,,,,,,,240.935373257,,,,4147200.0,,,,,,,,919,,
,,,,,1746880540.833844,,,,,,,2100,,,,,,,,,,,,,,,,,,240.935805338,,,,,,,,,,,,957,,0.2109375
,,,,,1746880545.3245702,,,,,,,2175,,,,,,,,,,,,,,,,,,240.936126007,,,,,,,,,,,,985,0.0,
,,,,,1746880545.3255565,,,,,,,2175,,,,,,,,,,,,,,,,,,240.936203935,,,,,,,,,,,,992,,0.2163086
,,,,,1746880549.817205,,,,,4608000.0,,2250,,,,,,,,,,,,,,,,,,240.936647546,,,,,,,,,,,,1031,,
,,,,,1746880554.3082595,,,,,,,2325,,,,,0.0,,,,,,,,,,,,,240.936893284,,,,,,,,,,,,1053,,
,,,,,1746880554.3093684,,,,,,,2325,,,,,,,,,,,,,,,,,,240.937055031,2325.0,,,,,,,,,,,1067,,
,,,,,1746880554.3105881,,,,,,,2325,,,,,,,,,,,,,,,0.0,,,240.937186594,,,,,,,,,,,,1079,,
,,0.9453817,,,1746880554.3109512,,,,,,,2325,,,,,,,,,,,,,,,,,,240.93724152,,,,,,,,,,,,1084,,
,,,,,1746880558.7986357,,,,,,,2400,,,,,,,,,,,,,,,,,,240.937349595,,,,4915200.0,,,,,,,,1094,,
,,,,,1746880558.7986627,,,,,,,2400,,,,,,,,0.0,,,,,,,,,,240.937360464,,,,,,,,,,,,1095,,
,,,,,1746880558.80042,,,,,,,2400,,,,,,,,,,,,,,,,,,240.937825175,,,,,,,,0.0,,,,1113,,
,,,,,1746880563.2882502,,,,,,,2475,,,,,,,,,,,,,,,,,,360.951492175,,,,,,,,,,,0.0,1124,,
,,,,,1746880563.2891886,,,,,,,2475,,,,,,,,,,,,,,,,,,360.951596262,,,,,,,,,,,,1132,,0.20996094
,,,,,1746880563.289689,,,,,,,2475,,,,,,,,,,,,,70.444786,,,,,360.951719402,,,,,,,,,,,,1141,,
,,1.013818,,,1746880563.2908504,,,,,,,2475,,,,,,,,,,,,,,,,,,360.951882966,,,,,,,,,,,,1154,,
,0.06820181,,,,1746880567.7788787,,,,,,,2550,,,,,,,,,,,,,,,,,,360.952081268,,,,,,,,,,,,1170,,
