global_step,_timestamp,task_0_0__square_arena,General/env_index,task_2_2__no_cooperation,Scaled_returns/evaluation_3__easy_layout_scaled,Scaled_returns/evaluation_5__smallest_kitchen_scaled,task_3_3__easy_layout,General/shaped_reward_annealed_agent1,Evaluation/2__no_cooperation,_runtime,task_4_4__asymm_advantages,Scaled_returns/evaluation_2__no_cooperation_scaled,Losses/actor_loss,Evaluation/4__asymm_advantages,_step,General/learning_rate,Losses/entropy,task_5_5__smallest_kitchen,General/steps_for_env,returned_episode,returned_episode_returns,Evaluation/1__cramped_room,Evaluation/5__smallest_kitchen,returned_episode_lengths,General/shaped_reward_agent0,Losses/total_loss,Scaled_returns/evaluation_1__cramped_room_scaled,Scaled_returns/returned_episode_returns_scaled,Losses/value_loss,Evaluation/3__easy_layout,General/shaped_reward_agent1,General/update_step,task_1_1__cramped_room,Advantage_Targets/advantages,reward,General/shaped_reward_annealed_agent0,explore,Evaluation/0__square_arena,Scaled_returns/evaluation_4__asymm_advantages_scaled,Losses/reg_loss,General/explore,Scaled_returns/evaluation_0__square_arena_scaled,Advantage_Targets/targets,General/env_step
75,1746880403.9083617,,,,,,,,,120.740135504,,,,0.0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,1746880403.909761,,,,,,,0.07568694,,120.740255449,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,1746880403.9106452,,,,,,,,,120.867211918,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5405405,,
300,1746880416.8884165,,,,,,,,,120.86973212,,,,,126,,,,,,,,,,,61.372498,,,,,,,,,,,,,,,,,,
450,1746880425.5384092,,,,,0.0,,,,120.870665659,,,,,203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
525,1746880429.861538,,,,,,,,,120.870881008,,,,,221,0.0003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
525,1746880429.8616066,,,,,,,,,120.870905391,,,,,223,,,,,,,,,,,,,,,,0.203125,,,,,,,,,,,,,
525,1746880429.8633916,,,,,,,,,120.871119701,,,,,241,,,,,,,,,400.0,,,,,,,,,,,,,,,,,,,,
600,1746880434.1858644,,,,,,,,,120.871202653,,,,,248,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,
600,1746880434.185933,,,,,,,,,120.871226917,,,,,250,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,
