_step,_runtime,General/env_index,global_step,_timestamp,Losses/actor_loss,Scaled_returns/evaluation_4__easy_layout_scaled,reward,General/shaped_reward_agent1,Scaled_returns/evaluation_0__smallest_kitchen_scaled,Evaluation/4__easy_layout,Evaluation/5__cramped_room,Advantage_Targets/advantages,General/env_step,General/update_step,Losses/total_loss,explore,General/explore,General/shaped_reward_annealed_agent0,Scaled_returns/evaluation_2__asymm_advantages_scaled,Evaluation/1__square_arena,returned_episode,General/learning_rate,Evaluation/2__asymm_advantages,returned_episode_returns,General/shaped_reward_annealed_agent1,Losses/reg_loss,General/steps_for_env,Scaled_returns/evaluation_5__cramped_room_scaled,returned_episode_lengths,Evaluation/3__no_cooperation,Scaled_returns/evaluation_3__no_cooperation_scaled,Losses/value_loss,Scaled_returns/evaluation_1__square_arena_scaled,Evaluation/0__smallest_kitchen,General/shaped_reward_agent0,Advantage_Targets/targets,Scaled_returns/returned_episode_returns_scaled,Losses/entropy,task_2_2__asymm_advantages
8,120.624725637,0.0,75.0,1746880409.3234925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,120.791437314,,150.0,1746880413.7744367,-0.0032767956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,120.791622463,,150.0,1746880413.7753491,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,120.791795196,,150.0,1746880413.7756135,,,0.49804688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,120.7928783,,300.0,1746880422.6736085,,,,0.16796875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,120.793001134,,300.0,1746880422.6743708,,,,,0.86614174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,120.793653105,,450.0,1746880431.568826,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,120.793663778,,450.0,1746880431.568855,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,120.79367488,0.0,450.0,1746880431.5688887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,120.794085108,0.0,525.0,1746880436.0176663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
245,120.79439778,,600.0,1746880440.4660974,,,,,,,,-10.557306,,,,,,,,,,,,,,,,,,,,,,,,,,,
278,120.794772881,,600.0,1746880440.4694467,,,0.49804688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
288,120.794884886,0.0,675.0,1746880444.9149566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
289,120.794901339,,675.0,1746880444.914991,,,,,,,,,1382400.0,,,,,,,,,,,,,,,,,,,,,,,,,,
332,120.795768498,,750.0,1746880449.364684,,,,,,,,,,750.0,,,,,,,,,,,,,,,,,,,,,,,,,
336,120.795894906,,750.0,1746880449.3652985,,,,,,,,,,,85.73709,,,,,,,,,,,,,,,,,,,,,,,,
344,120.796251579,,750.0,1746880449.3656876,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
360,240.810602475,,825.0,1746880453.8117812,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,
399,240.811117796,,900.0,1746880458.261265,,,,,,,,,,,,,,0.14209256,,,,,,,,,,,,,,,,,,,,,
403,240.81116511,,900.0,1746880458.2616174,-0.011384536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
418,240.811356261,,900.0,1746880458.2632763,,,0.5566406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445,240.811668302,,975.0,1746880462.710193,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,
458,240.811813803,,1050.0,1746880467.157807,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
484,240.812109898,,1050.0,1746880467.1603937,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
485,240.812121062,,1050.0,1746880467.1604216,,,,,,,,,,,,,,,,,0.0078125,,,,,,,,,,,,,,,,,,
490,240.812176519,,1125.0,1746880471.6064806,,,,,,,,-8.853605,,,,,,,,,,,,,,,,,,,,,,,,,,,
501,240.812305421,,1125.0,1746880471.6073487,,,,,,,,,,,,,,,,,,0.0003,,,,,,,,,,,,,,,,,
529,240.813060811,,1200.0,1746880476.0552342,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
555,240.813965968,,1200.0,1746880476.058041,,,,,,,,,,,,,,,,,0.0078125,,,,,,,,,,,,,,,,,,
620,240.814759369,,1350.0,1746880484.952979,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,
628,240.814857204,,1350.0,1746880484.9532108,,,0.5566406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
657,240.815247947,,1425.0,1746880489.4015596,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
697,240.815708236,,1500.0,1746880493.8499722,,,,,,,,,,,,,,,,,,,,255.0,,,,,,,,,,,,,,,
715,240.815918381,,1575.0,1746880498.2973166,,,,,,,,,,,,,,,,,,,,,0.11457179,,,,,,,,,,,,,,
717,240.815941504,,1575.0,1746880498.2973785,,,,,,,,,,1575.0,,,,,,,,,,,,,,,,,,,,,,,,,
718,240.815952759,,1575.0,1746880498.2974162,-0.019217711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
723,240.816010623,,1575.0,1746880498.2977216,,,,,0.992126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
741,240.816221909,,1650.0,1746880502.7442436,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
745,240.816265532,,1650.0,1746880502.7443871,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,
755,240.816379167,,1650.0,1746880502.7463706,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
784,240.816706582,,1725.0,1746880507.193633,,,,,,,,,,,,,,0.12438825,,,,,,,,,,,,,,,,,,,,,
812,240.817401599,,1800.0,1746880511.6387405,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
843,240.818400714,,1875.0,1746880516.0858312,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
855,240.818542092,,1875.0,1746880516.0868719,,,,,,,,,,,,,,,,,,,,,0.10618507,,,,,,,,,,,,,,
891,240.818954498,,1950.0,1746880520.5341766,,,,,,,,,,,,,,,,,,,,,,,3993600.0,,,,,,,,,,,,
903,240.819090728,,1950.0,1746880520.5358436,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
920,240.819284771,,2025.0,1746880524.9802306,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,
925,240.819342687,,2025.0,1746880524.9811118,,,,,,,,,,,,,,,,,,,,,0.099994525,,,,,,,,,,,,,,
938,240.819488453,,2025.0,1746880524.9827328,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
941,240.819521075,,2025.0,1746880524.9828236,,,,,,,,,,,,,,,,,,,,,,,,,400.0,,,,,,,,,,
953,240.819654499,0.0,2100.0,1746880529.4276311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
956,240.81968814,,2100.0,1746880529.428444,,,,,,,,,,,,,,,,,,0.0003,,,,,,,,,,,,,,,,,
961,240.81974479,,2100.0,1746880529.428624,,,,,,,,,,,,,,,,,,,,,,,4300800.0,,,,,,,,,,,,
970,240.819847521,,2100.0,1746880529.4296634,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,
973,240.819881223,,2100.0,1746880529.4297667,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
990,240.820068402,,2175.0,1746880533.8758252,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,
1046,240.820711535,,2250.0,1746880538.3270125,,,,,,,,,,,,,,,,,,,,,,,,,400.0,,,,,,,,,,
1047,240.820722705,,2250.0,1746880538.3270378,,,,,,,,,,,,,,,,,,,,248.75,,,,,,,,,,,,,,,
1055,240.82081194,,2325.0,1746880542.7720509,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,
1059,240.820856044,,2325.0,1746880542.772184,,,,,,,,,4761600.0,,,,,,,,,,,,,,,,,,,,,,,,,,
