returned_episode_lengths,_step,_runtime,global_step,_timestamp,General/learning_rate,reward,Scaled_returns/evaluation_2__square_arena_scaled,General/explore,General/shaped_reward_agent0,General/shaped_reward_annealed_agent1,Losses/reg_loss,Losses/total_loss,Scaled_returns/evaluation_1__no_cooperation_scaled,Scaled_returns/evaluation_0__asymm_advantages_scaled,General/env_index,General/steps_for_env,Evaluation/0__asymm_advantages,Scaled_returns/evaluation_3__smallest_kitchen_scaled,Losses/actor_loss,Losses/entropy,Evaluation/2__square_arena,Evaluation/1__no_cooperation,Scaled_returns/evaluation_4__easy_layout_scaled,Scaled_returns/returned_episode_returns_scaled,explore,Losses/value_loss,returned_episode_returns,Advantage_Targets/advantages,returned_episode,General/shaped_reward_annealed_agent0,General/env_step,Scaled_returns/evaluation_5__cramped_room_scaled,General/update_step,Evaluation/3__smallest_kitchen,General/shaped_reward_agent1,Evaluation/5__cramped_room,Advantage_Targets/targets,Evaluation/4__easy_layout
400.0,31,120.836014823,75,1746880409.095991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,46,120.836208828,150,1746880413.9706085,0.0003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,68,120.836474063,150,1746880413.972616,,0.52734375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,95,120.837141381,225,1746880418.8548698,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,150,120.838437742,375,1746880428.621006,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,186,120.838859963,450,1746880433.50562,0.0003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,222,120.839284594,525,1746880438.3898551,,,,,0.24902344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,235,120.839430764,525,1746880438.3912692,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,295,120.840117249,675,1746880448.1563802,,,,,,0.37049666,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,300,120.840176903,675,1746880448.1565378,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,301,120.840193073,675,1746880448.1571827,,,,,,,,285.05957,,,,,,,,,,,,,,,,,,,,,,,,,,
,304,120.840228497,675,1746880448.1572945,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
,325,240.858221966,750,1746880453.0394678,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,330,240.858287038,750,1746880453.040386,,,,,,0.3338792,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,338,240.858404582,750,1746880453.0413003,,,,,,,,,,0.96035236,,,,,,,,,,,,,,,,,,,,,,,,
,358,240.85864308,825,1746880457.9224553,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
,366,240.8587339,825,1746880457.9235442,,,,,,,,,,,,1689600.0,,,,,,,,,,,,,,,,,,,,,,
,387,240.859018619,900,1746880462.805912,,,,,,,,,,,,,328.0,,,,,,,,,,,,,,,,,,,,,
,401,240.859224415,900,1746880462.806928,,,,,,,,,,,,1843200.0,,,,,,,,,,,,,,,,,,,,,,
,409,240.859761008,900,1746880462.8082438,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
,411,240.859801394,900,1746880462.8083122,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,
400.0,416,240.859948335,900,1746880462.808458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,440,240.860788751,975,1746880467.6911697,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,441,240.860800554,975,1746880467.691491,,,,,,,,305.92218,,,,,,,,,,,,,,,,,,,,,,,,,,
,466,240.861112291,1050,1746880472.5751276,0.0003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,473,240.861196645,1050,1746880472.575363,,,,,,,,,,,,,,,-0.013382144,,,,,,,,,,,,,,,,,,,
,474,240.861209395,1050,1746880472.5753937,,,,,,,,,,,,,,,,0.7565679,,,,,,,,,,,,,,,,,,
