_step,_runtime,Losses/reg_loss,global_step,_timestamp,returned_episode_lengths,General/explore,General/shaped_reward_agent1,Scaled_returns/evaluation_0__smallest_kitchen_scaled,General/env_index,Advantage_Targets/advantages,Evaluation/0__smallest_kitchen,Scaled_returns/evaluation_1__square_arena_scaled,returned_episode_returns,reward,General/env_step,Scaled_returns/evaluation_4__cramped_room_scaled,General/shaped_reward_agent0,Evaluation/3__easy_layout,Evaluation/5__asymm_advantages,Scaled_returns/returned_episode_returns_scaled,Evaluation/1__square_arena,Scaled_returns/evaluation_2__no_cooperation_scaled,returned_episode,Losses/total_loss,General/update_step,Advantage_Targets/targets,General/steps_for_env,Losses/entropy,explore,General/learning_rate,Scaled_returns/evaluation_3__easy_layout_scaled,Losses/value_loss,General/shaped_reward_annealed_agent0,General/shaped_reward_annealed_agent1,Scaled_returns/evaluation_5__asymm_advantages_scaled,Losses/actor_loss,Evaluation/4__cramped_room,Evaluation/2__no_cooperation,task_2_2__no_cooperation
20,120.61363847,0.0,75.0,1746880412.2462585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,120.722279163,,150.0,1746880416.669144,400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,120.722608197,,225.0,1746880421.0907423,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,120.722731268,,225.0,1746880421.0914178,,,0.11621094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,120.724602397,,450.0,1746880434.361678,,,,0.8503937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,120.724833662,,525.0,1746880438.7843292,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
245,120.725149311,,600.0,1746880443.2067702,,,,,,-8.378708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
247,120.725171621,,600.0,1746880443.2068715,,,,,,,220.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
269,120.725427234,,600.0,1746880443.2088323,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
277,120.725515718,,600.0,1746880443.2100036,,,,,,,,,226.23047,,,,,,,,,,,,,,,,,,,,,,,,,,
278,120.72552726,,600.0,1746880443.2100348,,,,,,,,,,0.49804688,,,,,,,,,,,,,,,,,,,,,,,,,
289,120.725870263,,675.0,1746880447.630003,,,,,,,,,,,1382400.0,,,,,,,,,,,,,,,,,,,,,,,,
313,120.726370645,,675.0,1746880447.6325963,,,,,,,,,,0.46875,,,,,,,,,,,,,,,,,,,,,,,,,
324,120.726657615,,750.0,1746880452.0531638,,,,,,,,,,,1536000.0,,,,,,,,,,,,,,,,,,,,,,,,
342,120.727120273,,750.0,1746880452.055146,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
