General/update_step,_step,_runtime,global_step,_timestamp,General/shaped_reward_agent0,Evaluation/1__cramped_room,Evaluation/2__asymm_advantages,Losses/entropy,Losses/total_loss,Evaluation/4__no_cooperation,Scaled_returns/evaluation_0__smallest_kitchen_scaled,Scaled_returns/evaluation_4__no_cooperation_scaled,returned_episode_lengths,Evaluation/0__smallest_kitchen,General/learning_rate,Scaled_returns/evaluation_1__cramped_room_scaled,Scaled_returns/evaluation_2__asymm_advantages_scaled,Losses/actor_loss,Scaled_returns/evaluation_3__square_arena_scaled,General/steps_for_env,General/env_index,Advantage_Targets/targets,Scaled_returns/evaluation_5__easy_layout_scaled,returned_episode,General/shaped_reward_annealed_agent0,Losses/reg_loss,Evaluation/5__easy_layout,returned_episode_returns,General/explore,Scaled_returns/returned_episode_returns_scaled,General/shaped_reward_agent1,Evaluation/3__square_arena,Losses/value_loss,General/env_step,reward,explore,General/shaped_reward_annealed_agent1,Advantage_Targets/advantages
150.0,52,120.825227872,150,1746880406.0760615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,117,120.826414168,300,1746880414.8190157,0.17773438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,143,120.826725516,375,1746880419.1891818,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,214,120.827562527,525,1746880427.9236655,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,229,120.827732112,525,1746880427.924902,,,,0.7759607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,284,120.828615013,675,1746880436.6596148,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
675.0,297,120.82888808,675,1746880436.6608825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,301,120.828980025,675,1746880436.661419,,,,,85.23207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,321,120.829565461,750,1746880441.027263,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,338,120.83012936,750,1746880441.0291884,,,,,,,0.9133858,,,,,,,,,,,,,,,,,,,,,,,,,,,
,377,240.846328707,825,1746880445.3970833,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,381,240.846377786,825,1746880445.3976274,,,,,,,,,400.0,,,,,,,,,,,,,,,,,,,,,,,,,
,406,240.846680622,900,1746880449.7637632,,,,,70.48613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,422,240.846926313,975,1746880454.1297405,,,,,,,,,,252.0,,,,,,,,,,,,,,,,,,,,,,,,
,431,240.84703641,975,1746880454.130627,,,,,,,,,,,0.0003,,,,,,,,,,,,,,,,,,,,,,,
,479,240.847814479,1050,1746880458.4994802,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,
