_step,_runtime,General/env_index,global_step,_timestamp,Scaled_returns/evaluation_4__asymm_advantages_scaled,reward,Scaled_returns/evaluation_1__cramped_room_scaled,General/explore,General/learning_rate,Losses/entropy,Losses/actor_loss,returned_episode_returns,General/env_step,Scaled_returns/evaluation_5__smallest_kitchen_scaled,returned_episode,General/shaped_reward_annealed_agent0,Losses/value_loss,General/shaped_reward_agent1,Evaluation/0__square_arena,Evaluation/5__smallest_kitchen,Advantage_Targets/targets,General/shaped_reward_agent0,Scaled_returns/returned_episode_returns_scaled,Losses/total_loss,Scaled_returns/evaluation_2__no_cooperation_scaled,Evaluation/1__cramped_room,Evaluation/3__easy_layout,Losses/reg_loss,Evaluation/2__no_cooperation,Scaled_returns/evaluation_0__square_arena_scaled,General/steps_for_env,Evaluation/4__asymm_advantages,General/update_step,explore,Scaled_returns/evaluation_3__easy_layout_scaled,General/shaped_reward_annealed_agent1,returned_episode_lengths,Advantage_Targets/advantages,task_5_5__smallest_kitchen
8,120.58347973,0.0,75.0,1746880427.433623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,120.761499411,,75.0,1746880427.4361994,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,120.761577238,,75.0,1746880427.4367113,,0.28320312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,120.761910265,,150.0,1746880431.7783868,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,120.763457418,,300.0,1746880440.4607391,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,120.763471059,,300.0,1746880440.4611745,,,,,0.0003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,120.763569323,,300.0,1746880440.4619925,,,,,,0.7936561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,120.763863866,0.0,375.0,1746880444.7993853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,120.76397884,,375.0,1746880444.80045,,,,,,,-0.007097328,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,120.764143267,,375.0,1746880444.8018074,,,,,,,,221.35742,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,120.764284937,,450.0,1746880449.1384602,,,,,,,,,921600.0,,,,,,,,,,,,,,,,,,,,,,,,,,
220,240.77823706,,525.0,1746880453.4770133,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
269,240.779085085,,600.0,1746880457.8175259,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
273,240.7791696,,600.0,1746880457.8176558,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
275,240.779247698,,600.0,1746880457.8177183,,,,,,,,,,,0.0078125,,,,,,,,,,,,,,,,,,,,,,,,
289,240.779526667,,675.0,1746880462.1532946,,,,,,,,,1382400.0,,,,,,,,,,,,,,,,,,,,,,,,,,
294,240.779657737,,675.0,1746880462.153962,,,,,,,,,,,,0.1498956,,,,,,,,,,,,,,,,,,,,,,,
302,240.780112692,,675.0,1746880462.1548238,,,,,,,,,,,,,255.07484,,,,,,,,,,,,,,,,,,,,,,
326,240.780429697,,750.0,1746880466.491598,,,,,0.0003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
337,240.780573211,,750.0,1746880466.4924698,,,,,,,,,,,,,204.77414,,,,,,,,,,,,,,,,,,,,,,
363,240.7809028,,825.0,1746880470.830928,,,,,,,,,,,,,,0.1928711,,,,,,,,,,,,,,,,,,,,,
387,240.781211743,,900.0,1746880475.1677616,,,,,,,,,,,,,,,240.0,,,,,,,,,,,,,,,,,,,,
392,240.781268307,,900.0,1746880475.1679037,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
403,240.781399449,,900.0,1746880475.1688402,,,,,,,-0.013650617,,,,,,,,,,,,,,,,,,,,,,,,,,,,
421,240.781615347,,975.0,1746880479.5057516,,,,,,,,,,,,,,,,,51.43009,,,,,,,,,,,,,,,,,,
448,240.781933533,,975.0,1746880479.507949,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
465,240.782128075,,1050.0,1746880483.8451178,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
467,240.782152064,,1050.0,1746880483.845601,,,,,,,,,,,,,,,,,,0.17675781,,,,,,,,,,,,,,,,,
499,240.782534548,,1125.0,1746880488.1846561,,,,,,,,,2304000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
500,240.78254656,,1125.0,1746880488.1846864,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
509,240.782658258,,1125.0,1746880488.1859264,,,,,,0.7721976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
559,240.783688976,,1200.0,1746880492.5264056,,,,,,,,,,,,,,,,,,,0.9942462,,,,,,,,,,,,,,,,
616,240.784885688,,1350.0,1746880501.2048779,,,,,,,,,,,,,,,,,,,,104.01254,,,,,,,,,,,,,,,
631,240.785055262,,1425.0,1746880505.5432687,,,,,,,,,,,,,,,,,52.311035,,,,,,,,,,,,,,,,,,
662,240.785403529,,1425.0,1746880505.5462615,,,,,,,,258.73047,,,,,,,,,,,,,,,,,,,,,,,,,,,
666,240.785448899,,1500.0,1746880509.8817255,,,,,,,,,,,,,,,,,51.0543,,,,,,,,,,,,,,,,,,
672,240.785517652,,1500.0,1746880509.8819084,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
690,240.785728774,,1500.0,1746880509.8837652,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,
730,240.786176396,,1575.0,1746880514.2237082,,,,,,,,,,,0.0078125,,,,,,,,,,,,,,,,,,,,,,,,
815,240.787943206,,1800.0,1746880527.2386122,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
824,240.788055312,,1800.0,1746880527.2395978,,,,,,0.7246257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
837,240.788231776,,1800.0,1746880527.2411458,,,,,,,,260.01953,,,,,,,,,,,,,,,,,,,,,,,,,,,
843,240.788323501,,1875.0,1746880531.5778534,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
845,240.788347809,,1875.0,1746880531.5779257,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,
886,240.788824644,,1950.0,1746880535.9178917,,,,,0.0003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
938,240.789417415,,2025.0,1746880540.2570665,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
946,240.789510043,,2100.0,1746880544.5936644,,,,,,,,,,,,,,,,,49.184013,,,,,,,,,,,,,,,,,,
992,240.79002894,,2175.0,1746880548.9332883,,,,,,,,,,,,,,,,,,0.19238281,,,,,,,,,,,,,,,,,
1000,240.790119233,,2175.0,1746880548.9339426,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
1019,240.7903318,,2250.0,1746880553.2712681,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,
1027,240.790629534,,2250.0,1746880553.272312,,,,,,,,,,,,,,,,,,0.1821289,,,,,,,,,,,,,,,,,
1038,240.790847445,,2250.0,1746880553.2733772,,,,,,,,,,,,,,,,,,,,,,,,,,0.9729729,,,,,,,,,
